City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,zinder,13.8072,8.9881,24.34,25,54,3.93,NE,1701215415
309,paita,-5.0892,-81.1144,21.24,79,23,7.69,PE,1701215416
310,nabire,-3.3667,135.4833,25.5,86,100,1.03,ID,1701215416
311,saint augustine beach,29.8505,-81.2654,10.01,66,0,1.54,US,1701215416
312,curuca,-0.7289,-47.8481,24.67,85,13,2.33,BR,1701215416
313,bagamoyo,-6.4333,38.9,24.63,92,93,1.46,TZ,1701215417
314,prado,-17.3411,-39.2208,25.01,85,12,5.6,BR,1701215417
315,weyburn,49.6668,-103.8511,2.12,69,0,3.09,CA,1701215417
316,pierre,44.3683,-100.351,8.51,49,0,4.63,US,1701215248
317,al qadarif,14.0349,35.3834,25.05,54,0,6.05,SD,1701215417
318,armacao de buzios,-22.7469,-41.8817,26.03,94,99,6.29,BR,1701215418
319,labasa,-16.4167,179.3833,31.47,61,25,4.12,FJ,1701215418
320,ixtapa,20.7,-105.2,28.57,70,75,4.63,MX,1701215419
321,zhanaozen,43.3,52.8,2.57,79,79,3.89,KZ,1701215419
322,altania,-23.8744,-53.9017,21.36,95,70,2.18,BR,1701215419
323,kirsanov,52.6549,42.7224,-4.88,89,24,2.58,RU,1701215420
324,carutapera,-1.195,-46.02,24.93,91,16,3.13,BR,1701215420
325,chittagong,22.9167,91.5,18.82,84,27,1.74,BD,1701215420
326,wanganui,-39.9333,175.05,15.33,88,96,0.89,NZ,1701215420
327,port saint john's,-31.6229,29.5448,20.87,73,95,9.42,ZA,1701215421
328,qamdo,31.1667,97.2333,-7.79,50,68,0.87,CN,1701215421
329,vorgashor,67.5833,63.95,-11.65,90,100,2.96,RU,1701215422
330,aydarken,39.9443,71.3429,4.74,36,82,3.8,KG,1701215422
331,ghat,24.9647,10.1728,17.09,18,3,0.79,LY,1701215422
332,ceeldheer,3.8488,47.1806,26.18,79,67,5.97,SO,1701215422
333,vallenar,-28.5708,-70.7581,20.7,50,0,1.96,CL,1701215423
334,rio grande,-32.035,-52.0986,22.06,88,17,6.95,BR,1701215423
335,katsuura,35.1333,140.3,13.99,54,0,9.32,JP,1701215423
